customer_id,first_purchase_date,last_purchase_date,total_orders,total_revenue,total_quantity,recency_days,lifetime_days,avg_order_value,first_purchase_month,last_purchase_month,orders_per_month,avg_items_per_order
12346.0,2011-01-18,2011-01-18,1,77183.6,74215,326,0,77183.6,2011-01-01,2011-01-01,1.0,74215.0
12347.0,2010-12-07,2011-12-07,7,4310.0,2458,3,365,615.7142857142857,2010-12-01,2011-12-01,0.5753424657534247,351.14285714285717
12348.0,2010-12-16,2011-09-25,4,1797.24,2341,76,283,449.31,2010-12-01,2011-09-01,0.42402826855123676,585.25
12349.0,2011-11-21,2011-11-21,1,1757.55,631,19,0,1757.55,2011-11-01,2011-11-01,1.0,631.0
12350.0,2011-02-02,2011-02-02,1,334.40000000000003,197,311,0,334.40000000000003,2011-02-01,2011-02-01,1.0,197.0
12352.0,2011-02-16,2011-11-03,8,2506.04,536,37,260,313.255,2011-02-01,2011-11-01,0.9230769230769231,67.0
12353.0,2011-05-19,2011-05-19,1,89.0,20,205,0,89.0,2011-05-01,2011-05-01,1.0,20.0
12354.0,2011-04-21,2011-04-21,1,1079.4,530,233,0,1079.4,2011-04-01,2011-04-01,1.0,530.0
12355.0,2011-05-09,2011-05-09,1,459.40000000000003,240,215,0,459.40000000000003,2011-05-01,2011-05-01,1.0,240.0
12356.0,2011-01-18,2011-11-17,3,2811.43,1591,23,303,937.1433333333333,2011-01-01,2011-11-01,0.297029702970297,530.3333333333334
12357.0,2011-11-06,2011-11-06,1,6207.67,2708,34,0,6207.67,2011-11-01,2011-11-01,1.0,2708.0
12358.0,2011-07-12,2011-12-08,2,1168.06,248,2,149,584.03,2011-07-01,2011-12-01,0.40268456375838924,124.0
12359.0,2011-01-12,2011-10-13,4,6310.03,1609,58,274,1577.5075,2011-01-01,2011-10-01,0.43795620437956206,402.25
12360.0,2011-05-23,2011-10-18,3,2662.06,1165,53,148,887.3533333333334,2011-05-01,2011-10-01,0.6081081081081081,388.3333333333333
12361.0,2011-02-25,2011-02-25,1,189.9,91,288,0,189.9,2011-02-01,2011-02-01,1.0,91.0
12362.0,2011-02-17,2011-12-06,10,5226.2300000000005,2229,4,292,522.623,2011-02-01,2011-12-01,1.0273972602739727,222.9
12363.0,2011-04-11,2011-08-22,2,552.0,408,110,133,276.0,2011-04-01,2011-08-01,0.45112781954887216,204.0
12364.0,2011-08-19,2011-12-02,4,1313.1,1506,8,105,328.275,2011-08-01,2011-12-01,1.1428571428571428,376.5
12365.0,2011-02-21,2011-02-21,2,641.38,174,292,0,320.69,2011-02-01,2011-02-01,2.0,87.0
12367.0,2011-12-05,2011-12-05,1,168.9,173,5,0,168.9,2011-12-01,2011-12-01,1.0,173.0
12370.0,2010-12-14,2011-10-19,4,3541.94,2352,52,309,885.485,2010-12-01,2011-10-01,0.3883495145631068,588.0
12371.0,2011-10-11,2011-10-26,2,1887.96,591,45,15,943.98,2011-10-01,2011-10-01,2.0,295.5
12372.0,2011-02-16,2011-09-29,3,1298.04,794,72,225,432.68,2011-02-01,2011-09-01,0.4,264.6666666666667
12373.0,2011-02-01,2011-02-01,1,364.6,197,312,0,364.6,2011-02-01,2011-02-01,1.0,197.0
12374.0,2011-11-14,2011-11-14,1,742.9300000000001,342,26,0,742.9300000000001,2011-11-01,2011-11-01,1.0,342.0
12375.0,2011-09-02,2011-11-29,2,457.5,178,11,88,228.75,2011-09-01,2011-11-01,0.6818181818181819,89.0
12377.0,2010-12-20,2011-01-28,2,1628.1200000000001,944,316,39,814.0600000000001,2010-12-01,2011-01-01,1.5384615384615383,472.0
12378.0,2011-08-02,2011-08-02,1,4008.62,2529,130,0,4008.62,2011-08-01,2011-08-01,1.0,2529.0
12379.0,2011-06-22,2011-09-19,2,852.24,407,82,89,426.12,2011-06-01,2011-09-01,0.6741573033707865,203.5
12380.0,2011-06-07,2011-11-18,4,2724.81,1127,22,164,681.2025,2011-06-01,2011-11-01,0.7317073170731707,281.75
12381.0,2011-08-12,2011-12-05,5,1845.31,808,5,115,369.062,2011-08-01,2011-12-01,1.3043478260869565,161.6
12383.0,2010-12-22,2011-06-08,5,1850.56,1532,185,168,370.11199999999997,2010-12-01,2011-06-01,0.8928571428571429,306.4
12384.0,2011-08-10,2011-11-11,2,585.27,126,29,93,292.635,2011-08-01,2011-11-01,0.6451612903225806,63.0
12386.0,2010-12-08,2011-01-06,2,401.9,354,338,29,200.95,2010-12-01,2011-01-01,2.0,177.0
12388.0,2011-01-17,2011-11-24,6,2780.6600000000003,1462,16,311,463.4433333333334,2011-01-01,2011-11-01,0.5787781350482315,243.66666666666666
12390.0,2011-09-21,2011-09-21,1,549.84,353,80,0,549.84,2011-09-01,2011-09-01,1.0,353.0
